"year";"Output (MNOK)"
"1970";153946
"1971";172338
"1972";188466
"1973";214059
"1974";259860
"1975";295835
"1976";336847
"1977";378877
"1978";413000
"1979";461911
"1980";544463
"1981";622170
"1982";685350
"1983";753885
"1984";841749
"1985";936307
"1986";977093
"1987";1084593
"1988";1135569
"1989";1196609
"1990";1264171
"1991";1316609
"1992";1343977
"1993";1403966
"1994";1482192
"1995";1580878
"1996";1723566
"1997";1882515
"1998";1973316
"1999";2124016
"2000";2429141
"2001";2552333
"2002";2566043
"2003";2651074
"2004";2894481
"2005";3216244
"2006";3618164
"2007";3942964
"2008";4403916
"2009";4112837
"2010";4306039
"2011";4653988
"2012";4938804
"2013";5151958
"2014";5344923
"2015";5347063
"2016";5311135
"2017";5612413
"2018";6058444
"2019";6231026
"2020";6048018
"2021";7209413
"2022";9105043
"2023";8648148
