"year";"million workhours (total)"
"1970";2368.9
"1971";2386.7
"1972";2394.5
"1973";2398.0
"1974";2413.5
"1975";2446.3
"1976";2475.5
"1977";2499.2
"1978";2489.8
"1979";2497.4
"1980";2566.4
"1981";2592.3
"1982";2584.7
"1983";2576.4
"1984";2594.0
"1985";2667.3
"1986";2757.5
"1987";2777.7
"1988";2765.0
"1989";2684.2
"1990";2657.8
"1991";2643.6
"1992";2662.9
"1993";2688.9
"1994";2736.8
"1995";2774.9
"1996";2840.1
"1997";2927.4
"1998";3007.2
"1999";3047.2
"2000";3037.3
"2001";2989.8
"2002";2962.5
"2003";2892.4
"2004";2950.5
"2005";3002.5
"2006";3100.9
"2007";3260.7
"2008";3384.6
"2009";3325.4
"2010";3340.8
"2011";3405.8
"2012";3471.1
"2013";3492.0
"2014";3535.4
"2015";3552.6
"2016";3572.1
"2017";3591.1
"2018";3656.1
"2019";3717.5
"2020";3642.5
"2021";3726.7
"2022";3864.2
"2023";3884.1
"2024";3903.1
"2025";3924.6
