"year";"gpd_ex_gov";"gdp_gov"
"1970";61632;10973
"1971";68284;12998
"1972";76000;14978
"1973";85573;17384
"1974";100774;20135
"1975";114766;24450
"1976";128576;29451
"1977";144610;33746
"1978";155752;37914
"1979";165921;40626
"1980";183461;46150
"1981";206121;53530
"1982";230465;60845
"1983";251325;67328
"1984";278384;73760
"1985";308591;80963
"1986";343235;89676
"1987";383356;101941
"1988";411700;109841
"1989";419294;116620
"1990";428896;124596
"1991";440157;136057
"1992";453082;144434
"1993";471810;150162
"1994";493128;156261
"1995";530441;164295
"1996";554393;175343
"1997";600678;185170
"1998";651493;201043
"1999";683280;215419
"2000";729624;227961
"2001";775439;244926
"2002";810424;258223
"2003";849586;270489
"2004";926058;282599
"2005";1010928;295570
"2006";1123202;314862
"2007";1250538;340693
"2008";1347328;372268
"2009";1345613;399457
"2010";1419077;422992
"2011";1471192;450303
"2012";1569876;479838
"2013";1666009;505303
"2014";1750047;531440
"2015";1806413;558257
"2016";1848807;580629
"2017";1920645;607847
"2018";2011351;637603
"2019";2125246;669867
"2020";2103204;690699
"2021";2297450;731184
"2022";2658635;781306
"2023";2731878;836871
"2024";2818330;894294
