"year";"prices"
"1970";13759
"1971";15947
"1972";17785
"1973";19832
"1974";24276
"1975";28125
"1976";33206
"1977";39273
"1978";45161
"1979";48919
"1980";55249
"1981";62498
"1982";70790
"1983";78701
"1984";86143
"1985";95210
"1986";106095
"1987";122016
"1988";134142
"1989";140833
"1990";142855
"1991";144538
"1992";146834
"1993";150753
"1994";155237
"1995";162668
"1996";170552
"1997";180450
"1998";194482
"1999";211011
"2000";228436
"2001";241127
"2002";246704
"2003";252448
"2004";263788
"2005";279813
"2006";303488
"2007";338104
"2008";375773
"2009";407882
"2010";427733
"2011";452962
"2012";479559
"2013";505840
"2014";547229
"2015";584507
"2016";600295
"2017";617471
"2018";654102
"2019";694885
"2020";752972
"2021";806122
"2022";868751
"2023";938323
