"quarter";"GDP"
"1978K1";325623
"1978K2";328854
"1978K3";329885
"1978K4";335233
"1979K1";338451
"1979K2";338529
"1979K3";341653
"1979K4";345706
"1980K1";350386
"1980K2";346763
"1980K3";347596
"1980K4";348844
"1981K1";355281
"1981K2";354542
"1981K3";353121
"1981K4";355287
"1982K1";356786
"1982K2";356267
"1982K3";355226
"1982K4";356267
"1983K1";358665
"1983K2";362506
"1983K3";364095
"1983K4";368493
"1984K1";373276
"1984K2";369482
"1984K3";376273
"1984K4";392988
"1985K1";400568
"1985K2";396531
"1985K3";400633
"1985K4";403789
"1986K1";406613
"1986K2";418663
"1986K3";415086
"1986K4";414501
"1987K1";414297
"1987K2";423243
"1987K3";416265
"1987K4";421989
"1988K1";416274
"1988K2";413628
"1988K3";412979
"1988K4";411432
"1989K1";406430
"1989K2";405715
"1989K3";405131
"1989K4";412208
"1990K1";412055
"1990K2";410439
"1990K3";410133
"1990K4";413268
"1991K1";415539
"1991K2";416045
"1991K3";418461
"1991K4";415980
"1992K1";425249
"1992K2";425744
"1992K3";427287
"1992K4";430556
"1993K1";433934
"1993K2";435607
"1993K3";438041
"1993K4";448617
"1994K1";448261
"1994K2";455013
"1994K3";455417
"1994K4";460584
"1995K1";466560
"1995K2";466764
"1995K3";474089
"1995K4";472783
"1996K1";487325
"1996K2";483704
"1996K3";491778
"1996K4";492766
"1997K1";495843
"1997K2";514989
"1997K3";516815
"1997K4";524837
"1998K1";526573
"1998K2";532135
"1998K3";535348
"1998K4";538319
"1999K1";539502
"1999K2";542386
"1999K3";549800
"1999K4";553886
"2000K1";563528
"2000K2";559727
"2000K3";564133
"2000K4";565385
"2001K1";576316
"2001K2";571956
"2001K3";569601
"2001K4";577024
"2002K1";579447
"2002K2";584270
"2002K3";586028
"2002K4";581502
"2003K1";586249
"2003K2";588116
"2003K3";595925
"2003K4";593833
"2004K1";614575
"2004K2";618559
"2004K3";626543
"2004K4";632073
"2005K1";639854
"2005K2";655119
"2005K3";655593
"2005K4";666343
"2006K1";678550
"2006K2";685925
"2006K3";689598
"2006K4";707086
"2007K1";723784
"2007K2";726013
"2007K3";741669
"2007K4";745655
"2008K1";746399
"2008K2";755632
"2008K3";757973
"2008K4";743061
"2009K1";739917
"2009K2";740803
"2009K3";738879
"2009K4";743232
"2010K1";757522
"2010K2";755665
"2010K3";758409
"2010K4";757276
"2011K1";767178
"2011K2";772369
"2011K3";775596
"2011K4";780208
"2012K1";798674
"2012K2";800437
"2012K3";805156
"2012K4";810223
"2013K1";819314
"2013K2";819478
"2013K3";826373
"2013K4";831763
"2014K1";835662
"2014K2";842451
"2014K3";844282
"2014K4";848966
"2015K1";854707
"2015K2";857092
"2015K3";858504
"2015K4";857527
"2016K1";861224
"2016K2";862542
"2016K3";866127
"2016K4";864493
"2017K1";875933
"2017K2";885497
"2017K3";891586
"2017K4";896976
"2018K1";900723
"2018K2";906206
"2018K3";909811
"2018K4";917161
"2019K1";922112
"2019K2";932096
"2019K3";940314
"2019K4";939106
"2020K1";914310
"2020K2";868647
"2020K3";908303
"2020K4";917849
"2021K1";919412
"2021K2";932770
"2021K3";955514
"2021K4";970405
"2022K1";978594
"2022K2";993043
"2022K3";997381
"2022K4";1004717
"2023K1";1004752
"2023K2";1006715
"2023K3";1007128
"2023K4";1007629
"2024K1";1007543
"2024K2";1009695
"2024K3";1018937
"2024K4";1017081
"2025K1";1025533
"2025K2";1030830
"2025K3";1031975
"2025K4";1036326
